term,mnemonic,improved_mnemonic
aberrant,You will never see a bare Asian. It’s atypical.,Aberrant sounds like 'a bare Asian'. You will never see a bare Asian (without shoes). It's atypical.
abet,"""A' + 'bet'; visualizing a bet that friends make and encourage each other in showcases abetting.",Looks like 'a' + 'bet'. Visualize a bet: gamblers often assist each other in making more bets. Abet means to encourage or assist someone to do something wrong.
abstain,ab+stain. We tend to stay away from stains.,"From Latin ab-(away) + tenere (to hold), so 'abstain' means to hold away from something. We tend to stay away from stains."
acrimonious,"From Latin acrimony + ous = acri-, acer- (bitter, as in 'acerbic') + -monia (used to form abstract nouns, as in 'sanctimony, parsimony') + ous (full of).","From Latin acrimony + ous = acri-, acer- (bitter, as in 'acerbic') + -monia (used to form abstract nouns, as in 'sanctimony, parsimony') + ous (full of). Acrimonious means bitter or sharp in language or tone."
adumbrate,"From Latin ad (to, on) + umbra (shade) + ate. The artist began to adumbrate her next painting, sketching faint outlines that foreshadowed the masterpiece to come.","From Latin ad- (to, on) + umbra (shade) + ate. The artist began to adumbrate her next painting, sketching faint outlines that foreshadowed the masterpiece to come."
affront,ad + front = to the face = insult.,"From Latin ad- (to) + frons (forehead). An affront is like an insult, a punch to the face."
aghast,"A ghost shocked me, leaving me horrified and frozen.","aghast looks like 'a ghost.' A ghost shocked me, leaving me horrified and frozen."
alacrity,"With a lack of the city,  they were all eager to explore the countryside.","Alacrity sounds like 'a lack of pity'. If you have a lack of pity, you are eager to do something. Alacrity means brisk and cheerful readiness."
all-encompassing,"The report was all-encompassing, covering every aspect of the issue.",The report was all-encompassing: it covers every aspect of the issue.
amorphous,a + morph: no form.,"From Latin a- (without) + morphē (form) + -ous, which means formless. A mob (crowd) is so big it looks formless from outside."
anachronism,"You know about 'chronometer,' which means clock. Anything with 'chron' relates to time. Anachronism (an+chron+ism) uses 'an' in a negative sense, so anachronism means something or someone not in its correct time period.",From Latin a- (without) + morph (form) + ous. Amorphous means without a defined form. A jelly is amorphous because it changes shape easily.
anathema,"Connect 'anathema' with 'asthma', disliking asthma as it affects breathing, like an anathema which denotes dislike or a curse.",From Greek ana- (up) + tithenai (to place) + ma (noun suffix). An anathema is something or someone that is detested or loathed.
antedate,ante = before.,"From ante- (before) + date, to mean come before (in time)"
antipathy,anti + pathos = against feeling.,From Greek anti- (against) + pathos (feeling). Antipathy is a strong feeling of dislike or aversion.
aplomb,"Sounds like a plum. He handled the situation with aplomb, like a plum that stays calm in the storm.","Aplomb sounds like 'a plum.' He handled the situation with aplomb, like a plum that stays calm in the storm. Aplomb means self-confidence or assurance."
appropriate,"Appropriate = a + property + iate, implying taking something as one’s own property, possibly by force. Also, allocating something to oneself.","From ad- (to) + proprius (one's own). Appropriate means to take something for oneself, like appropriating a property."
arabesque,"Arabesque = Arab+eqsue. Think of an Arab region, known for ornate decorations and distinctive dance positions, capturing the essence of arabesque style and dance.","Arabesque = Arab+eqsue. Think of an Arab region, known for ornate decorations and distinctive dance positions, capturing the essence of arabesque style and dance."
arcane,"Arcane sounds like Ar + Kane - The wrestler Kane's face always remains secret, as he uses a mask, hinting at something mysterious or known only by a few.",The TV series 'Arcane' set in League of Legends universe has great elements of mystery. Also think about arcane magic: it's mysterious and understood by a few.
arduous,"Arduous can be read as 'hard to do for us,' highlighting its meaning of being difficult or requiring a lot of effort.","Arduous can be read as 'hard to do for us,' highlighting its meaning of being difficult or requiring a lot of effort."
assiduous,A scientist assesses the claims with diligent research and persistent effort.,"From Latin 'assidere' (be engaged, related to assess), + -ous. An assisduous scientist is diligent and persistent in assessing claims."
assuage,"Assuage sounds like ass-usage, which, when in the toilet, provides relief.",Assuage sounds like 'a sage'. A sage is a wise person who can calm you down. Assuage means to make an unpleasant feeling less intense.
atavism,"Associate 'atavism' with 'avatar'; an atavism is a throwback, resembling an ancestor or previous form, much like an avatar is an incarnation of a past being.",From Latin atavus (ancestor) + -ism. An atavism is a throwback to an earlier form or ancestor.
audacious,au-dare-cious. The author dares to deceive us with the title.,"audacious comes from audacia (audacity, boldness) + ous, and sounds like 'author dares' + 'cious.' The author's audacious title dares to deceive us."
augment,"Augment sounds like the opposite of segment; while segment means to divide or reduce, augment means to add or increase.","Augment sounds like the opposite of segment; while segment means to divide or reduce, augment means to add or increase."
axiom,"Ax + i + om (on) - when the ax is on me, I'll tell the truth. An axiom is a self-evident truth.","From Greek axioma (that which is thought fitting). When the ax is on me, I'll tell you an axiom, the general truth."
badger,Think of BAD GIRL; bad girls can annoy or badger people continuously.,Looks like 'bad girl.' Bad girls pester or annoy people continuously.
bemoan,"Consider 'bemoan' as 'be + moan', where 'moan' symbolizes crying or expressing disapproval, often felt when losing something valuable.","Bemoan sounds like 'bee' + 'moan'. The bees moan for the disorganization of the beehive, both complaining about the new hive and mourning over the old one."
benevolent,Benevolent sounds like 'benefit' + 'violent'. A benevolent person benefits others without violence.,"From Latin bene (well) + volent (wishing). A benevolent person wishes well for others without any violence. Antonym: malevolent, from Latin male (bad) + volent (wishing), which means evil or harmful."
berate,"If you only receive B-rating, you will be scolded.","Sounds like 'be' + 'rate'. If you only receive B-rating, you will be berated by the teacher."
blight,"Imagine a black light that can harm or destroy plants, associating 'blight' with destruction.","Looks like 'bad light'. A bad light can harm or destroy plants, so 'blight' means to destroy or a destructive infection."
boisterous,"Break it down as BOIS(BOYS)+TEROS(TERRORIS(t)). When boys behave like terrorists, they are too noisy and rowdy, thus boisterous.",Sounds like boys + ter(rific) + ous. Imagine the boys watching a terrific movie with us and make lots of noise: they're boisterous (cheerful and rowdy)
bombastic,These bombs are showy: their dramatic explosions are inflated.,"Bombastic can be used to describe showy bombs in movies, because their dramatic explosions are inflated."
bravado,"Bravado = Brava (Brave) + Do = Act brave without being brave, embodying the false bravery or bravado.","Bravado = brave + -ado. Their actions show boldness, but we don't know if that bravado is genuine or showy."
brazen,Split the word brazen as Bra + Zen. Imagine seeing a girl in a Zen car wearing only a bra. It’s a bold and brazen attempt!,"Split into 'bra' + 'zen.' Imagine seeing a girl wearing only bra driving a hoodless car, it's a bold and shameless move."
