#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
amorphous	a + morph: no form	without a clearly defined shape or form.	1) an amorphous cloud mass	formless, shapeless, unformed, unshaped, unstructured,
belie		(of an appearance) fail to give a true impression of (something).fail to fulfill or justify (a claim or expectation).	She wasn't rich in life, her clothing belying her poverty, and even her death has been insulting.	conceal, disguise, misrepresentcontradict, confute; disprove, debunk
capricious	related to caprice. Car prices are unpredictable like a moody and whimsical child these days	given to sudden and unaccountable changes of mood or behavior; often spring from irrational and unpredictable whims, making them totally unreliable.	1) It was hopeless to try and argue with her capricious husband 2) capricious weather/winds	fickle, whimsical, quirky, changeable, changeful, flickery, fluctuating, fluid, inconsistent, inconstant,
cerebral		1. of the cerebrum of the brain. 2. intellectual rather than emotional or physical.	1) the cerebral cortex/hemisphere   2) a cerebral hemorrhage	blue, eggheaded, geeky, highbrow, highbrowed, intellectual, intellectualist, intellectualistic,
congenial		1. (of a person) pleasing or liked on account of having qualities or interests that are similar to one's own. 2. (of a thing) pleasant or agreeable because suited to one's taste or inclination.	1) I was working with a bunch of very congenial people  2) We studied in the congenial atmosphere of the library.	kindred, convivial, sociable, agreeable, blessed, darling, delectable, delicious, delightful, delightsome, dreamy,
conspicuous	If the jocks see us wearing anything that stands out, they can pick on us more easily	1. clearly visible. 2. attracting notice or attention.	He was very thin, with a conspicuous Adam's apple. The bird has a conspicuous red head, making it an easy prey.	clear, noticeable, observable, discernible, perceptible;obvious, manifest, evident, apparent, marked, pronounced, prominent, outstanding, patent, crystal clear; vivid, striking, dramatic, eye-catching, flagrant, ostentatious, overt, blatant,distinct, recognizable, distinguishable, unmistakable
cursory		hasty and therefore not thorough or detailed.	The officer takes a cursory peek inside my lunch bag—the contraband check.Only a cursory inspection of the building's electrical wiring was done.	desultory, casual, hasty, drive-by, flying, gadarene, hasty, headlong, helter-skelter, hurried, overhasty,
daunting		seeming difficult to deal with in prospect; intimidating.	1) a daunting task	formidable, intimidating, demoralizing, discomfiting, disconcerting, discouraging, disheartening, dismaying, dispiriting, discomforting,
deify	deity + fy	worship or regard as a god.	1) The people deified the emperor.   2) Our society deifies [=worships] money.	worship, venerate,  reverence, adore, adulate, canonize, dote (on), hero-worship, idolize,
didactic		1) intended to teach something, particularly in having moral instruction as a motive 2) in the manner of a teacher, particularly so as to appear patronizing.	1) a didactic novel that set out to expose social injustice. 2) The work is instructive without being didactic; Joachim finds beauty not in hiding from tension, but by keeping it in view as she sings and plays with joy.	instructive, informative, pedagogic, doctrinal, homiletic, moralistic, moralizing, preachy, sententious, sermonic,
disseminate		spread (something, especially information) widely.	And with the steady advances in telecommunications, they would soon be able to disseminate their own digital content in so many new ways to so many more people.	proclaim, promulgate, broadcast, circulate, propagate, spread,
feasible		possible to do easily or conveniently.	Anything seemed possible, likely, feasible, because I wanted everything to be possible	achievable, attainable, doable, possible, practicable, realizable, viable, workable,
flout	When a player tried to foul out of his way, defying the game rules, the audience all openly scorned him	openly disregard (a rule, law, or convention)	Isn’t this what he wanted—for me to turn my back on injustice by flouting the laws created for us blacks, no matter what might happen?	defy, scorn, despise, disregard, violate, breach
homogeneous		of the same kind; alike.	1) a racially homogeneous neighborhood [=a neighborhood in which all the people belong to the same race]   2) a fairly homogeneous collection of examples	similar, analogous, kindred, entire, homogenous, unchanging, uniform, unvaried, unvarying, akin, alike,
humdrum		1) adj. lacking excitement, boringly monotonous. 2) adj. not challenging; dull and lacking excitement 3) noun. the quality of wearisome constancy, routine, and lack of variety	1) Brains that are susceptible to migraines are more sensitive to change, so maintaining the humdrum part of your life is probably advisable, too. 2) But the rest of the storytelling is more traditional, and it is flattened by a humdrum plot and a poorly written female protagonist. 3) he was sick of the humdrum of his fellow prisoner	mundane, dull, monotonous, banal, prosaic, arid, boring, colorless, drab, dreary, drudging, dry,
